JobTitle,Company,Location,PostDate,Current Date,Summary,Salary,JobURL
Penetration Tester,IrisPeak Technologies Private Limited,"Hyderabad, Telangana•Remote",1 day ago,15-10-2021,"Operate a hands-on role involving penetration testing and vulnerability assessment activities of complex applications, operating systems, wired and wireless…",,https://in.indeed.com/company/IrisPeak-Technologies-Private-Limited/jobs/Penetration-Tester-3d3c222ba23be79d?fccid=3a30975b64790732&vjs=3
Python Developer,Gridlogic,"Hyderabad, Telangana",30+ days ago,15-10-2021,XML parsing and generation using python.,,https://in.indeed.com/rc/clk?jk=ee5bde927225be16&fccid=dd616958bd9ddc12&vjs=3
Intern (Technical-Engineering),Synopsys,"Hyderabad, Telangana",3 days ago,15-10-2021,"You will be responsible for a wide variety of Quality and testing tasks, including developing, applying, and maintaining quality standards for company products.",,https://in.indeed.com/rc/clk?jk=b94c77a81ee08994&fccid=6ce9eba87609c3e9&vjs=3
"Software Engineer 1 – IT(I5), Hyderabad",Dell Technologies,"Hyderabad, Telangana",6 days ago,15-10-2021,Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction.,,https://in.indeed.com/rc/clk?jk=932ee67ce944966b&fccid=dd09fe3b43125016&vjs=3
Data Scientist/Machine Learning,Festen Technology Pvt Ltd,"Hyderabad, Telangana",3 days ago,15-10-2021,"Business & Data Understanding, Data Preparation, Model Development, Validation and Deployment.","₹8,00,000 - ₹10,00,000 a year",https://in.indeed.com/company/Festen-Technology-Pvt-Ltd/jobs/Data-Scientist-Machine-Learning-a282ce75c2dcb53f?fccid=f27182ef389a30dc&vjs=3
Python TEAM LEAD,Rehlat Internet and Multimedia,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Expert in Python, with web framework (such as Django, Rest, etc depending on your technology stack) and hands-on shell scripting.",,https://in.indeed.com/rc/clk?jk=9580c9a7ae598567&fccid=e51fc842ca03d6ac&vjs=3
Python Infrastructure Development,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",8 days ago,15-10-2021,"You will be using the latest technologies, data management and security practices in all aspects of software development.",,https://in.indeed.com/rc/clk?jk=49e7dc6c8f6921b8&fccid=aaf3b433897ea465&vjs=3
Python/Blazor/Angular Senior Developer,Sevate Software Services Private Limited,"Hyderabad, Telangana•Temporarily Remote",14 days ago,15-10-2021,Requirement Analysis – Understand the requirement and discuss with Lead / Senior Analyst Developer on Implementation and any clarifications needed.,"₹15,00,000 - ₹18,00,000 a year",https://in.indeed.com/company/Sevate-Software-Services-Private-Limited/jobs/Python-Blazor-Angular-Senior-Developer-f97329f8138feeeb?fccid=636275ffe7fc4be2&vjs=3
Tableau Developer,Screative Software Services Pvt.ltd,"Hyderabad, Telangana•Remote",2 days ago,15-10-2021,"Responsible for developing solutions in Tableau with expertise in Advanced Vizualisations including extensive experience in sourcing, processing, managing &…",,https://in.indeed.com/company/Screative-Software-Services-Pvt.ltd/jobs/Tableau-Developer-bfa572c4c6973978?fccid=6a65e05b1ffc1263&vjs=3
Software Developer,Plasticontechnologies,"Hyderabad, Telangana",17 days ago,15-10-2021,"Job-type: java, php, python, react.","₹20,000 - ₹50,000 a month",https://in.indeed.com/company/Plasticontechnologies/jobs/Software-Developer-d26f7b15be190f34?fccid=5d094550061c36b4&vjs=3
Python Developer,[x]cube LABS,"Hyderabad, Telangana",30+ days ago,15-10-2021,Expert knowledge in core python and related frameworks.,,https://in.indeed.com/rc/clk?jk=af769ed23d24c9ce&fccid=18428c927720a73f&vjs=3
Innovation Coach,Academy of Robotics,"Hyderabad, Telangana•Remote",28 days ago,15-10-2021,To give training online for children on various coding platforms.,"₹12,000 - ₹25,000 a month",https://in.indeed.com/company/Academy-of-Robotics/jobs/Innovation-Coach-07dc2388766014da?fccid=856a74abfcb106e4&vjs=3
Lead Analyst - Datastage/Python,CGI Inc,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Possess sufficient knowledge and skills to effectively deal with issues, challenges within field of specialization to develop simple applications solutions.",,https://in.indeed.com/rc/clk?jk=e4c2a5d2388edf1d&fccid=43a69183767d4301&vjs=3
Python pytest,Green knitt,"Hyderabad, Telangana•Remote",17 days ago,15-10-2021,Python pytest: 5 years (Preferred).,,https://in.indeed.com/company/Green-knitt/jobs/Python-Pytest-715c52acef939724?fccid=8f78b4f3be78e574&vjs=3
Junior Software Developer - Python + AWS,Verisk,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more…",,https://in.indeed.com/rc/clk?jk=b8b683697e447966&fccid=d621f9a5603cfedd&vjs=3
Python/Django Developer,Syncor Solutions Private Limited,"Hyderabad, Telangana",30+ days ago,15-10-2021,"You have a degree in Computer Science, IT or Electrical Engineering.","₹22,000 a month",https://in.indeed.com/company/Syncor-Solutions-Private-Limited/jobs/Python-Django-Developer-888c85424d2237e1?fccid=e64159de62680ef0&vjs=3
Django Developer,Tech Arion private limited,"Hyderabad, Telangana",5 days ago,15-10-2021,Performance tuning and automation of application.,"₹12,000 - ₹30,000 a month",https://in.indeed.com/company/Tech-Arion-private-limited/jobs/Django-Developer-a03d1776f133c7b6?fccid=6c42d3f1722d6f6e&vjs=3
Business Intelligence Analyst,Tech Mahindra,"Hyderabad, Telangana•Temporarily Remote",3 days ago,15-10-2021,"Work with cross-department finance business partners, enterprise Data/Bi engineers, and own the end-to-end delivery of data warehouse platform improvements,…","₹15,00,000 - ₹18,00,000 a year",https://in.indeed.com/company/Tech-Mahindra/jobs/Business-Intelligence-Analyst-8367b05a9bc51909?fccid=6c6c3a0e640a50a8&vjs=3
Associate Analyst - HR Analytics,Deloitte,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Responsible for data extraction, analysis, report preparation & delivery to various DTTL’s business leaders on a weekly/monthly basis.",,https://in.indeed.com/rc/clk?jk=b799ac7973ce6f21&fccid=9e215d88a6b33622&vjs=3
Associate Technical Consultant (Python Data Science),Colruyt IT Consultancy India,"Hyderabad, Telangana",Today,15-10-2021,Designation Associate Technical Consultant (Python Data Science).,,https://in.indeed.com/rc/clk?jk=9000990de6805c51&fccid=37969524b3d5931c&vjs=3
Python Developer,ValueLabs,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Javascript • HTML, CSS, AI/ML, AWS • Open CV • Backend - python Development.",,https://in.indeed.com/rc/clk?jk=b2cae95ba31e85da&fccid=a3a205eec2c5353a&vjs=3
Software Quality Engineer 1 (114699),"Advanced Micro Devices, Inc.","Hyderabad, Telangana",Today,15-10-2021,Candidate will be part of Component Quality Engineering Team of about ~50 engineers.,,https://in.indeed.com/rc/clk?jk=b118921e244419ed&fccid=b45c4b5a9c9a7448&vjs=3
Software Engineer/Group Data Technology,HSBC,"Hyderabad, Telangana",1 day ago,15-10-2021,"The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross…",,https://in.indeed.com/rc/clk?jk=1ca2e1996c51c619&fccid=04c9b139c84ea1b5&vjs=3
Python Developer,Tata Consultancy Services (TCS),"Hyderabad, Telangana",Today,15-10-2021,Strong knowledge in python programming and classes.,"₹80,000 - ₹99,000 a month",https://in.indeed.com/company/Tata-Consultancy-Services-(TCS)/jobs/Python-Developer-625726ba47d20a40?fccid=d9b9208177142548&vjs=3
Hadoop Admin,Helius Technologies,"Hyderabad, Telangana",30+ days ago,15-10-2021,We are looking for a high quality candidate to join our critical project.,,https://in.indeed.com/rc/clk?jk=2c1d03aa4493422a&fccid=b3282c125f18e0c0&vjs=3
