Description,Price,Rating,Review Count,URL
"TCL 10 Pro Unlocked Android Smartphone with 6.47"" AMOLED FHD + Display, 64MP Quad Rear Camera System, 128GB+6GB RAM, 4500mAh Fast Charging Battery - Forest Mist Green",$399.99,4.2 out of 5 stars,822,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06184266QXLRQ833T2W&url=%2FTCL-Unlocked-Android-Smartphone-Charging%2Fdp%2FB087LW5VR1%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309311%26sr%3D8-22-spons%26psc%3D1&qualifier=1634309311&id=3435083157754560&widgetName=sp_btf
$15/Month Mint Mobile Wireless Plan | 4GB of 5G • 4G LTE Data + Unlimited Talk & Text for 3 Months (3-in-1 GSM SIM Card),$45.00,4.3 out of 5 stars,"2,775",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04976201LFBJ25NNA8G9&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB0741FV7ZV%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-17-spons%26psc%3D1%26smid%3DA1PVJZ1CYRZAP3&qualifier=1634309325&id=8536282801945541&widgetName=sp_atf_next
TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA - Fustration Free Packaging,$29.99,4.4 out of 5 stars,506,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A005972527SV7BZAZ3YFB&url=%2FTracFone-LG-Journey-Prepaid-Smartphone%2Fdp%2FB09238C448%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-18-spons%26psc%3D1&qualifier=1634309325&id=8536282801945541&widgetName=sp_atf_next
"LG Phoenix 4 Smartphone, 4G LTE, Android 7.1 OS, 16GB, Black for AT&T Prepaid",$89.99,4.3 out of 5 stars,548,https://www.amazon.com/LG-Phoenix-Prepaid-Smartphone-Android/dp/B07PS7Y8SX/ref=sr_1_19?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-19
"LG V60 ThinQ 5G LM-V600AM 128GB GSM Unlocked 6.8"" P-OLED DisplayTriple 64MP+13MP+0.3MP Camera Phone Classy Blue",$419.00,4.0 out of 5 stars,490,https://www.amazon.com/LG-LM-V600AM-Unlocked-P-OLED-DisplayTriple/dp/B08HBXM4RM/ref=sr_1_20?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-20
"LG G8 ThinQ LMG820TM 4G LTE, 128GB Carmine Red - T-Mobile Unlocked",$349.99,4.2 out of 5 stars,357,https://www.amazon.com/LG-ThinQ-LMG820TM-T-Mobile-Unlocked/dp/B07WGJ3NTF/ref=sr_1_26?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-26
$25/Month Mint Mobile Wireless Plan | 15GB of 5G • 4G LTE Data + Unlimited Talk & Text for 3 Months (3-in-1 GSM SIM Card),$75.00,4.3 out of 5 stars,762,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0769216G7FF9OAHW6C8&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB0741FC1L4%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-27-spons%26psc%3D1%26smid%3DA1PVJZ1CYRZAP3&qualifier=1634309325&id=8536282801945541&widgetName=sp_mtf
Tracfone Keep Your Own Phone 3-in-1 Prepaid SIM Kit,$1.00,4.3 out of 5 stars,"4,094",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A04754351M6XYX7VV97A9&url=%2FeGift-Promotion-Tracfone-Phone-Prepaid%2Fdp%2FB0728N8PT9%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-28-spons%26psc%3D1&qualifier=1634309325&id=8536282801945541&widgetName=sp_mtf
"LG K51s (64GB, 3GB) 6.55"" HD, 32MP Quad Camera, MIL-STD 810G, Helio P35, GSM Unlocked Global 4G LTE International Model (T-Mobile, AT&T, Metro) LM-K510BMW (Titan)",$179.00,4.1 out of 5 stars,119,https://www.amazon.com/LG-Unlocked-International-T-Mobile-LM-K510BMW/dp/B08JN8Q5FW/ref=sr_1_29?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-29
Simple Mobile Carrier-Locked LG Stylo 5 4G LTE Prepaid Smartphone - Black - 32GB - Sim Card Included - GSM,$79.99,4.3 out of 5 stars,53,https://www.amazon.com/Simple-Mobile-Carrier-Locked-Prepaid-Smartphone/dp/B084GZJ517/ref=sr_1_30?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-30
"LG K42 4G LTE Unlocked Volte 64GB Quad Camera (LTE USA Latin Carribean) 3GB Ram 6.6"" (NOT Verizon/Boost) Dual Sim Android 10 (Gray)",$159.99,3.6 out of 5 stars,17,https://www.amazon.com/LG-K42-Unlocked-Carribean-Verizon/dp/B08YP8RHT3/ref=sr_1_31?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-31
"Boost Mobile LG Tribute Empire 16GB Prepaid Smartphone LGX220PBBB, Silver - Carrier Locked to Boost Mobile",$99.00,4.0 out of 5 stars,126,https://www.amazon.com/LG-Tribute-Prepaid-Smartphone-LGX220PBBB/dp/B07YP3M7GV/ref=sr_1_32?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-32
LG Flip Phone 3G True B460 GSM Unlocked Bluetooth Camera (Cricket) World Phone (NOT CDMA Carriers Like Verizon Sprint Boost Mobile Virgin),$90.23,3.9 out of 5 stars,80,https://www.amazon.com/LG-Unlocked-Bluetooth-Cricket-Carriers/dp/B07FXXF59D/ref=sr_1_33?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-33
"LG K92 5G (128GB, 6GB) 6.7"" FHD+, Snapdragon 690, 64MP Quad Camera, US 5G / Global 4G LTE AT&T Unlocked (Cricket, Global/NOT for T-Mobile) LM-K920AM (64GB SD Bundle, Titan Gray)",$234.34,4.2 out of 5 stars,24,https://www.amazon.com/LG-Snapdragon-Unlocked-T-Mobile-LM-K920AM/dp/B092FFBWZ5/ref=sr_1_34?dchild=1&keywords=lg+mobile&qid=1634309325&sr=8-34
"$30/Month Mint Mobile Wireless Plan | Unlimited Talk, Text & Data for 3-Months (3-in-1 GSM SIM Card)",$90.00,4.1 out of 5 stars,391,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A01698211V32Z58MG63IN&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB08FXRTYPH%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-37-spons%26psc%3D1&qualifier=1634309325&id=8536282801945541&widgetName=sp_btf
TracFone LG Reflect LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$131.37,4.4 out of 5 stars,143,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A04831353A44LE6AWZE3C&url=%2FTracFone-Reflect-Prepaid-Smartphone-Locked%2Fdp%2FB08J5DRB63%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309325%26sr%3D8-38-spons%26psc%3D1&qualifier=1634309325&id=8536282801945541&widgetName=sp_btf
Tracfone Keep Your Own Phone 3-in-1 Prepaid SIM Kit,$1.00,4.3 out of 5 stars,"4,094",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04754351M6XYX7VV97A9&url=%2FeGift-Promotion-Tracfone-Phone-Prepaid%2Fdp%2FB0728N8PT9%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-33-spons%26psc%3D1&qualifier=1634309338&id=8270079235383797&widgetName=sp_atf_next
"SAMSUNG Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 30X Space Zoom Night Mode, Cloud Navy",$599.99,4.6 out of 5 stars,"7,059",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A08321811Y6GC26RJ78II&url=%2FSamsung-Factory-Unlocked-Smartphone-Pro-Grade%2Fdp%2FB08FYTSXGQ%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-34-spons%26psc%3D1&qualifier=1634309338&id=8270079235383797&widgetName=sp_atf_next
"LG Stylo 5+ Plus LM-Q720AM, 4G LTE, US Version, 32GB, 3GB RAM, Aurora Black - AT&T Unlocked (T-Mobile, Metro, Cricket)",$134.45,4.4 out of 5 stars,222,https://www.amazon.com/LG-Snapdragon-Unlocked-T-Mobile-LM-Q720AM/dp/B08MV9MRLN/ref=sr_1_35?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-35
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery",$249.99,4.4 out of 5 stars,"3,305",https://www.amazon.com/TCL-Unlocked-Android-Smartphone-Display/dp/B087LYQ22N/ref=sr_1_37?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-37
"LG G5 H820 (32GB + 4GB RAM) 5.3"" 4G LTE AT&T Unlocked GSM Smartphone (US Warranty) (Silver)",$179.00,3.5 out of 5 stars,88,https://www.amazon.com/LG-G5-32GB-Unlocked-Smartphone/dp/B06WLNYK8M/ref=sr_1_38?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-38
LG B470 3G Flip Phone GSM Unlocked Bluetooth Camera (at&t) World Phone (NOT CDMA Carriers like Verizon Sprint Boost Mobile Virgin),$89.99,3.6 out of 5 stars,387,https://www.amazon.com/LG-Unlocked-Bluetooth-Carriers-Verizon/dp/B01N1JNELN/ref=sr_1_39?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-39
LG Flip Phone 3G True B460 GSM Unlocked Bluetooth Camera (Cricket) World Phone (NOT CDMA Carriers Like Verizon Sprint Boost Mobile Virgin),$90.23,3.9 out of 5 stars,80,https://www.amazon.com/LG-Unlocked-Bluetooth-Cricket-Carriers/dp/B07FXXF59D/ref=sr_1_40?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-40
"TCL 10 Pro Unlocked Android Smartphone with 6.47"" AMOLED FHD + Display, 64MP Quad Rear Camera System, 128GB+6GB RAM, 4500mAh Fast Charging Battery",$399.99,4.2 out of 5 stars,822,https://www.amazon.com/TCL-Unlocked-Android-Smartphone-Charging/dp/B087LZNMYB/ref=sr_1_41?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-41
Total Wireless LG K31 Rebel 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$39.88,4.1 out of 5 stars,125,https://www.amazon.com/Total-Wireless-Prepaid-Smartphone-Locked/dp/B08J4M397Q/ref=sr_1_42?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-42
TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA - Fustration Free Packaging,$29.99,4.4 out of 5 stars,506,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A005972527SV7BZAZ3YFB&url=%2FTracFone-LG-Journey-Prepaid-Smartphone%2Fdp%2FB09238C448%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-43-spons%26psc%3D1&qualifier=1634309338&id=8270079235383797&widgetName=sp_mtf
$25/Month Mint Mobile Wireless Plan | 15GB of 5G • 4G LTE Data + Unlimited Talk & Text for 3 Months (3-in-1 GSM SIM Card),$75.00,4.3 out of 5 stars,762,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0769216G7FF9OAHW6C8&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB0741FC1L4%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-44-spons%26psc%3D1%26smid%3DA1PVJZ1CYRZAP3&qualifier=1634309338&id=8270079235383797&widgetName=sp_mtf
Simple Mobile Carrier-Locked Samsung Galaxy A50 4G LTE Prepaid Smartphone - Black - 64GB - Sim Card Included - GSM,$166.89,4.6 out of 5 stars,33,https://www.amazon.com/Simple-Mobile-Carrier-Locked-Samsung-Smartphone/dp/B084GXNHGF/ref=sr_1_45?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-45
At&t Prepaid LG Xpression Plus Prepaid Smartphone,$99.99,4.3 out of 5 stars,162,https://www.amazon.com/At-Prepaid-Xpression-Plus-Smartphone/dp/B07MBWWM25/ref=sr_1_47?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-47
TracFone LG K31 Rebel 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$49.03,4.0 out of 5 stars,418,https://www.amazon.com/TracFone-Rebel-Prepaid-Smartphone-Locked/dp/B08J5DCBQR/ref=sr_1_48?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-48
Net10 LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$68.08,4.6 out of 5 stars,12,https://www.amazon.com/Net10-Premier-Prepaid-Smartphone-Locked/dp/B08J5J916G/ref=sr_1_49?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-49
"Samsung Galaxy A71 A715F/DS, 4G LTE, International Version (No US Warranty), 128GB, 6GB, Blue - GSM Unlocked - 64GB SD + Case Bundle",$478.00,4.4 out of 5 stars,"6,282",https://www.amazon.com/Samsung-Unlocked-International-A715F-DS/dp/B089HXXJGX/ref=sr_1_52?dchild=1&keywords=lg+mobile&qid=1634309338&sr=8-52
TracFone LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$71.00,4.0 out of 5 stars,180,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A04763275M5XQW06ABOJ&url=%2FTracFone-Premier-Prepaid-Smartphone-Locked%2Fdp%2FB08J4J18SP%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-53-spons%26psc%3D1&qualifier=1634309338&id=8270079235383797&widgetName=sp_btf
TracFone LG Reflect LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$131.37,4.4 out of 5 stars,143,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A04831353A44LE6AWZE3C&url=%2FTracFone-Reflect-Prepaid-Smartphone-Locked%2Fdp%2FB08J5DRB63%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309338%26sr%3D8-54-spons%26psc%3D1&qualifier=1634309338&id=8270079235383797&widgetName=sp_btf
Google Fi SIM Card Kit,$9.99,4.0 out of 5 stars,"2,019",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A051183338A4QJHBOHW80&url=%2FGoogle-Fi-SIM-Card-Kit%2Fdp%2FB07P5GP11P%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309352%26sr%3D8-49-spons%26psc%3D1&qualifier=1634309352&id=7854460262851010&widgetName=sp_atf_next
TracFone LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$71.00,4.0 out of 5 stars,180,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A04763275M5XQW06ABOJ&url=%2FTracFone-Premier-Prepaid-Smartphone-Locked%2Fdp%2FB08J4J18SP%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309352%26sr%3D8-50-spons%26psc%3D1&qualifier=1634309352&id=7854460262851010&widgetName=sp_atf_next
Net10 LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$68.08,4.6 out of 5 stars,12,https://www.amazon.com/Net10-Premier-Prepaid-Smartphone-Locked/dp/B08J5J916G/ref=sr_1_51?dchild=1&keywords=lg+mobile&qid=1634309352&sr=8-51
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",$249.99,4.4 out of 5 stars,"3,305",https://www.amazon.com/TCL-Unlocked-Android-Smartphone-Display/dp/B087LY84RT/ref=sr_1_53?dchild=1&keywords=lg+mobile&qid=1634309352&sr=8-53
TracFone LG Premier Pro Plus 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$71.00,4.0 out of 5 stars,180,https://www.amazon.com/TracFone-Premier-Prepaid-Smartphone-Locked/dp/B08J4J18SP/ref=sr_1_56?dchild=1&keywords=lg+mobile&qid=1634309352&sr=8-56
Moto G Play | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Blue,$169.99,4.4 out of 5 stars,"5,196",https://www.amazon.com/3-Day-battery-Unlocked-Motorola-Camera/dp/B08NWGBHG3/ref=sr_1_58?dchild=1&keywords=lg+mobile&qid=1634309352&sr=8-58
$25/Month Mint Mobile Wireless Plan | 15GB of 5G • 4G LTE Data + Unlimited Talk & Text for 3 Months (3-in-1 GSM SIM Card),$75.00,4.3 out of 5 stars,762,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0769216G7FF9OAHW6C8&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB0741FC1L4%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309352%26sr%3D8-59-spons%26psc%3D1%26smid%3DA1PVJZ1CYRZAP3&qualifier=1634309352&id=7854460262851010&widgetName=sp_mtf
Tracfone Keep Your Own Phone 3-in-1 Prepaid SIM Kit,$1.00,4.3 out of 5 stars,"4,094",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04754351M6XYX7VV97A9&url=%2FeGift-Promotion-Tracfone-Phone-Prepaid%2Fdp%2FB0728N8PT9%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dlg%2Bmobile%26qid%3D1634309352%26sr%3D8-60-spons%26psc%3D1&qualifier=1634309352&id=7854460262851010&widgetName=sp_mtf
